City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto baquerizo moreno,-0.9,-89.6,296.48,76,93,5.55,EC,1698534691
84,dudinka,69.4058,86.1778,259.05,92,72,5.81,RU,1698534693
85,vila do maio,15.1333,-23.2167,299.59,77,46,6.25,CV,1698534695
86,daru,-9.0763,143.2092,298.02,94,100,6.18,PG,1698534697
87,kartaly,53.0522,60.6467,272.05,97,100,4.02,RU,1698534699
88,coroata,-4.13,-44.1242,302.29,63,39,4.19,BR,1698534481
89,uchaly,54.2996,59.4521,269.86,98,100,2.07,RU,1698534704
90,cannonvale,-20.2833,148.7,297.81,58,71,7.92,AU,1698534706
91,ketchikan,55.3422,-131.6461,281.41,71,0,3.09,US,1698534708
92,qarauyl,48.9451,79.255,274.37,97,100,3.83,KZ,1698534710
93,east ballina,-28.8667,153.5833,291.6,62,94,1.51,AU,1698534712
94,plastun,44.7561,136.2939,276.6,44,0,1.87,RU,1698534714
95,kristiansund,63.1115,7.732,272.18,74,8,1.03,NO,1698534716
96,tiksi,71.6872,128.8694,262.86,86,100,5.64,RU,1698534719
97,san patricio,28.017,-97.5169,303.12,67,38,6.37,US,1698534721
98,labytnangi,66.6572,66.4183,260.76,90,87,1.51,RU,1698534723
99,harper,4.375,-7.7169,298.62,89,6,3.19,LR,1698534725
100,saint-philippe,-21.3585,55.7679,295.92,89,33,3.6,RE,1698534727
101,castillos,-34.1667,-53.8333,289.46,97,17,2.46,UY,1698534729
102,port isabel,26.0734,-97.2086,303.19,73,40,8.75,US,1698534480
103,kirensk,57.7853,108.1119,269.24,51,91,3.58,RU,1698534736
104,howard springs,-12.497,131.047,303.64,70,19,1.59,AU,1698534738
105,mount pearl,47.5166,-52.7813,285.45,92,99,2.24,CA,1698534740
106,pacocha,-17.5833,-71.3333,291.96,86,76,1.98,PE,1698534742
107,totness,5.8833,-56.3167,300.99,83,99,5.35,SR,1698534744
108,touros,-5.1989,-35.4608,298.88,73,59,7.02,BR,1698534747
109,stanley,54.868,-1.6985,282.89,93,75,4.63,GB,1698534749
110,ribeira grande,38.5167,-28.7,290.8,67,100,1.34,PT,1698534751
111,hasaki,35.7333,140.8333,287.37,62,43,8.12,JP,1698534753
112,ilulissat,69.2167,-51.1,269.16,74,86,8.75,GL,1698534755
113,mugia,43.1041,-9.2179,289.77,78,100,12.57,ES,1698534757
114,lebu,-37.6167,-73.65,282.62,79,95,7.95,CL,1698534760
115,kutum,14.2,24.6667,297.23,24,52,2.94,SD,1698534762
116,ringkobing,56.0901,8.244,280.94,90,100,10.48,DK,1698534764
117,weno,7.4515,151.8468,302.12,84,100,2.06,FM,1698534766
118,korla,41.7597,86.1469,284.52,41,13,2.68,CN,1698534768
119,tantou,26.0314,119.5986,292.64,82,82,3.93,CN,1698534770
120,nagqu,31.5,92.0,267.79,60,100,0.89,CN,1698534772
121,laojunmiao,39.8333,97.7333,279.65,34,92,0.79,CN,1698534775
122,cestos city,5.46,-9.5828,298.8,88,77,3.23,LR,1698534777
123,dadeldhura,29.2984,80.5806,281.43,81,48,1.46,NP,1698534779
124,ilhabela,-23.7781,-45.3581,296.49,97,100,3.18,BR,1698534781
125,isafjordur,66.0755,-23.124,275.33,86,99,2.53,IS,1698534783
126,kukuna,9.4,-12.6667,297.33,95,43,1.9,SL,1698534785
127,mejit,10.2753,170.8646,301.6,75,45,8.37,MH,1698534787
128,tazovsky,67.4667,78.7,258.82,91,51,4.28,RU,1698534790
129,taulaga,-11.0553,-171.0883,301.65,73,78,4.42,AS,1698534792
130,chibougamau,49.9168,-74.3659,268.94,80,100,8.23,CA,1698534794
131,zurrieq,35.8311,14.4742,294.24,88,0,2.06,MT,1698534796
132,severo-yeniseyskiy,60.3725,93.0408,264.03,81,100,7.15,RU,1698534798
133,san pedro pochutla,15.7333,-96.4667,303.99,79,37,2.15,MX,1698534800
134,sao vicente,-23.9631,-46.3919,303.3,78,100,2.24,BR,1698534803
135,luderitz,-26.6481,15.1594,289.51,60,0,9.19,NA,1698534805
136,shilong,23.1123,113.8425,295.75,91,76,1.93,CN,1698534807
137,charters towers,-20.1,146.2667,298.05,44,38,6.62,AU,1698534809
138,constantia,44.1833,28.65,287.53,53,60,2.31,RO,1698534811
139,yung shue wan,22.2333,114.1167,298.01,83,87,0.89,HK,1698534814
140,arraial do cabo,-22.9661,-42.0278,298.07,88,75,6.17,BR,1698534816
141,pokhara,28.2333,83.9833,289.23,65,84,2.54,NP,1698534818
142,bismarck,46.8083,-100.7837,269.06,70,0,5.14,US,1698534820
143,port elizabeth,-33.918,25.5701,285.55,66,0,2.57,ZA,1698534822
144,askoy,60.4092,5.226,275.35,80,0,1.54,NO,1698534824
145,hawaiian paradise park,19.5933,-154.9731,301.88,72,40,3.09,US,1698534826
