City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bilibino,68.0546,166.4372,258.16,78,77,1.08,RU,1698714276
83,talnakh,69.4865,88.3972,256.6,95,100,2.12,RU,1698714262
84,colonia,50.9333,6.95,285.35,84,100,6.69,DE,1698714336
85,rongelap,11.1635,166.8941,301.67,78,83,9.37,MH,1698714265
86,bogale,16.2833,95.4,298.08,90,88,3.1,MM,1698714645
87,cambria,35.5641,-121.0808,295.56,47,0,2.97,US,1698714648
88,novyy buh,47.6931,32.5216,285.11,88,12,3.66,UA,1698714650
89,karratha,-20.7377,116.8463,304.76,27,73,3.21,AU,1698714322
90,vila velha,-20.3297,-40.2925,299.12,82,0,6.26,BR,1698714654
91,hithadhoo,-0.6,73.0833,299.76,81,100,4.46,MV,1698714293
92,phichit,16.25,100.4167,296.27,97,100,2.09,TH,1698714658
93,terrace,54.5163,-128.6035,276.05,71,100,0.44,CA,1698714661
94,ironwood,46.4547,-90.171,271.38,64,100,4.12,US,1698714663
95,usogorsk,63.4106,48.6872,269.63,83,100,1.12,RU,1698714665
96,papatowai,-46.5619,169.4708,288.97,60,100,2.9,NZ,1698714290
97,kapuskasing,49.4169,-82.4331,269.15,68,20,1.54,CA,1698714262
98,st. john's,47.5649,-52.7093,274.97,93,100,0.0,CA,1698714276
99,bonthe,7.5264,-12.505,298.78,86,1,2.29,SL,1698714674
100,san sebastian de la gomera,28.0916,-17.1133,297.35,78,100,4.12,ES,1698714677
101,la sarre,48.8002,-79.1996,269.46,72,9,2.68,CA,1698714679
102,zakynthos,37.7914,20.8953,291.84,73,0,1.59,GR,1698714542
103,puerto baquerizo moreno,-0.9,-89.6,296.48,80,100,4.51,EC,1698714182
104,tamanrasset,22.785,5.5228,294.7,22,6,1.18,DZ,1698714686
105,afaahiti,-17.75,-149.2833,301.08,83,41,7.94,PF,1698714267
106,deder,9.3167,41.45,286.45,83,77,0.4,ET,1698714690
107,lihue,21.9789,-159.3672,301.73,70,40,4.12,US,1698714350
108,nabire,-3.3667,135.4833,300.95,83,25,1.34,ID,1698714695
109,angaur state,6.906,134.13,301.59,74,13,2.14,PW,1698714697
110,tolanaro,-25.0319,46.9987,297.19,88,75,1.03,MG,1698714396
111,puerto ayora,-0.7393,-90.3518,296.79,92,100,2.24,EC,1698714277
112,den burg,53.0542,4.7972,284.24,97,75,2.06,NL,1698714704
113,krasnyy kut,50.95,46.9667,280.69,82,100,7.48,RU,1698714706
114,ushuaia,-54.8,-68.3,276.96,65,75,9.26,AR,1698714074
115,wakema,16.6,95.1833,298.07,90,72,3.5,MM,1698714710
116,san patricio,28.017,-97.5169,282.06,67,100,7.75,US,1698714254
117,petawawa,45.9001,-77.3328,273.59,79,76,0.45,CA,1698714714
118,haiku-pauwela,20.9219,-156.3051,301.16,66,40,7.72,US,1698714313
